DEBUG:root:Namespace(blweight=0.01, cuda=True, curri=False, epoch=100001, hidden=512, joint=False, lr=0.001, max=100, mweight=0.001, out_hidden=500, resume=False, seq=4, tasks=1, tau=5, vocab=20)
DEBUG:root:Namespace(blweight=0.01, cuda=True, curri=False, epoch=100001, hidden=512, joint=False, lr=0.001, max=10, mweight=0.001, out_hidden=500, resume=False, seq=2, tasks=1, tau=5, vocab=10)
DEBUG:root:Namespace(blweight=0.01, cuda=True, curri=False, epoch=100001, hidden=512, joint=False, lr=0.001, max=10, mweight=0.001, out_hidden=500, resume=False, seq=2, tasks=1, tau=5, vocab=10)
DEBUG:root:Namespace(blweight=0.01, cuda=True, curri=False, epoch=100001, hidden=512, joint=False, lr=0.001, max=10, mweight=0.001, out_hidden=500, resume=False, seq=2, tasks=1, tau=5, vocab=10)
DEBUG:root:Namespace(blweight=0.01, cuda=True, curri=False, epoch=100001, hidden=512, joint=False, lr=0.001, max=10, mweight=0.001, out_hidden=500, resume=False, seq=2, tasks=1, tau=5, vocab=10)
DEBUG:root:Namespace(blweight=0.01, cuda=True, curri=False, epoch=100001, hidden=512, joint=False, lr=0.001, max=10, mweight=0.001, out_hidden=500, resume=False, seq=2, tasks=1, tau=5, vocab=10)
DEBUG:root:Namespace(blweight=0.01, cuda=True, curri=False, epoch=100001, hidden=512, joint=False, lr=0.001, max=10, mweight=0.001, out_hidden=500, resume=False, seq=2, tasks=1, tau=5, vocab=10)
DEBUG:root:16:21 chapter100, epoch 4400, loss:3.42574, acc: 93/100 = 93.000%
DEBUG:root:16:23 chapter100, epoch 4500, loss:3.68699, acc: 93/100 = 93.000%
DEBUG:root:16:25 chapter100, epoch 4600, loss:4.00763, acc: 93/100 = 93.000%
DEBUG:root:16:26 chapter100, epoch 4700, loss:3.54913, acc: 94/100 = 94.000%
DEBUG:root:16:28 chapter100, epoch 4800, loss:2.16341, acc: 95/100 = 95.000%
DEBUG:root:16:30 chapter100, epoch 4900, loss:1.96168, acc: 95/100 = 95.000%
DEBUG:root:16:32 chapter100, epoch 5000, loss:2.21940, acc: 95/100 = 95.000%
DEBUG:root:16:34 chapter100, epoch 5100, loss:1.88466, acc: 95/100 = 95.000%
DEBUG:root:16:35 chapter100, epoch 5200, loss:1.75847, acc: 95/100 = 95.000%
DEBUG:root:16:37 chapter100, epoch 5300, loss:2.06683, acc: 95/100 = 95.000%
DEBUG:root:16:39 chapter100, epoch 5400, loss:2.63947, acc: 95/100 = 95.000%
DEBUG:root:16:41 chapter100, epoch 5500, loss:2.43714, acc: 95/100 = 95.000%
DEBUG:root:16:42 chapter100, epoch 5600, loss:2.23606, acc: 95/100 = 95.000%
DEBUG:root:16:44 chapter100, epoch 5700, loss:2.48165, acc: 95/100 = 95.000%
DEBUG:root:16:46 chapter100, epoch 5800, loss:2.43172, acc: 95/100 = 95.000%
DEBUG:root:16:48 chapter100, epoch 5900, loss:2.76958, acc: 95/100 = 95.000%
DEBUG:root:16:50 chapter100, epoch 6000, loss:2.67493, acc: 95/100 = 95.000%
DEBUG:root:16:51 chapter100, epoch 6100, loss:2.61220, acc: 95/100 = 95.000%
DEBUG:root:16:53 chapter100, epoch 6200, loss:2.61612, acc: 95/100 = 95.000%
DEBUG:root:16:55 chapter100, epoch 6300, loss:1.85795, acc: 96/100 = 96.000%
DEBUG:root:16:57 chapter100, epoch 6400, loss:1.93057, acc: 96/100 = 96.000%
DEBUG:root:16:59 chapter100, epoch 6500, loss:1.76174, acc: 96/100 = 96.000%
DEBUG:root:17:00 chapter100, epoch 6600, loss:1.81872, acc: 96/100 = 96.000%
DEBUG:root:17:02 chapter100, epoch 6700, loss:1.68478, acc: 96/100 = 96.000%
DEBUG:root:17:04 chapter100, epoch 6800, loss:1.66222, acc: 96/100 = 96.000%
DEBUG:root:17:10 chapter100, epoch 6900, loss:1.87838, acc: 96/100 = 96.000%
DEBUG:root:17:11 chapter100, epoch 7000, loss:1.85750, acc: 96/100 = 96.000%
DEBUG:root:17:13 chapter100, epoch 7100, loss:1.86907, acc: 96/100 = 96.000%
DEBUG:root:17:15 chapter100, epoch 7200, loss:1.72469, acc: 96/100 = 96.000%
DEBUG:root:17:17 chapter100, epoch 7300, loss:1.56270, acc: 96/100 = 96.000%
DEBUG:root:17:19 chapter100, epoch 7400, loss:1.56207, acc: 96/100 = 96.000%
DEBUG:root:17:20 chapter100, epoch 7500, loss:1.90298, acc: 96/100 = 96.000%
DEBUG:root:17:22 chapter100, epoch 7600, loss:2.01655, acc: 96/100 = 96.000%
DEBUG:root:17:24 chapter100, epoch 7700, loss:2.05552, acc: 96/100 = 96.000%
DEBUG:root:17:26 chapter100, epoch 7800, loss:1.84868, acc: 96/100 = 96.000%
DEBUG:root:17:27 chapter100, epoch 7900, loss:1.88775, acc: 96/100 = 96.000%
DEBUG:root:17:29 chapter100, epoch 8000, loss:2.02322, acc: 96/100 = 96.000%
DEBUG:root:17:31 chapter100, epoch 8100, loss:1.95188, acc: 96/100 = 96.000%
DEBUG:root:17:33 chapter100, epoch 8200, loss:2.11951, acc: 96/100 = 96.000%
DEBUG:root:17:35 chapter100, epoch 8300, loss:2.13704, acc: 96/100 = 96.000%
DEBUG:root:17:36 chapter100, epoch 8400, loss:1.99765, acc: 96/100 = 96.000%
DEBUG:root:17:38 chapter100, epoch 8500, loss:1.97904, acc: 96/100 = 96.000%
DEBUG:root:17:40 chapter100, epoch 8600, loss:2.10877, acc: 96/100 = 96.000%
DEBUG:root:17:42 chapter100, epoch 8700, loss:1.73239, acc: 96/100 = 96.000%
DEBUG:root:17:43 chapter100, epoch 8800, loss:1.79977, acc: 96/100 = 96.000%
DEBUG:root:17:45 chapter100, epoch 8900, loss:2.40355, acc: 96/100 = 96.000%
DEBUG:root:17:47 chapter100, epoch 9000, loss:2.15241, acc: 96/100 = 96.000%
DEBUG:root:17:49 chapter100, epoch 9100, loss:1.94399, acc: 96/100 = 96.000%
DEBUG:root:17:51 chapter100, epoch 9200, loss:1.98626, acc: 96/100 = 96.000%
DEBUG:root:17:52 chapter100, epoch 9300, loss:1.93899, acc: 96/100 = 96.000%
DEBUG:root:17:54 chapter100, epoch 9400, loss:1.98104, acc: 96/100 = 96.000%
DEBUG:root:17:56 chapter100, epoch 9500, loss:1.58773, acc: 96/100 = 96.000%
DEBUG:root:17:58 chapter100, epoch 9600, loss:1.52504, acc: 96/100 = 96.000%
DEBUG:root:18:00 chapter100, epoch 9700, loss:1.72339, acc: 96/100 = 96.000%
DEBUG:root:18:01 chapter100, epoch 9800, loss:1.81768, acc: 96/100 = 96.000%
DEBUG:root:18:03 chapter100, epoch 9900, loss:1.78683, acc: 96/100 = 96.000%
DEBUG:root:18:05 chapter100, epoch 10000, loss:1.93762, acc: 96/100 = 96.000%
DEBUG:root:Namespace(blweight=0.01, cuda=True, curri=False, epoch=100001, hidden=512, joint=False, lr=0.001, max=20, mweight=0.001, out_hidden=500, resume=False, seq=2, tasks=1, tau=5, vocab=10)
DEBUG:root:18:06 chapter20, epoch 100, loss:2.23206, acc: 3/20 = 15.000%
DEBUG:root:18:06 chapter20, epoch 200, loss:1.59134, acc: 6/20 = 30.000%
DEBUG:root:18:06 chapter20, epoch 300, loss:1.39062, acc: 6/20 = 30.000%
DEBUG:root:18:06 chapter20, epoch 400, loss:1.29320, acc: 8/20 = 40.000%
DEBUG:root:18:07 chapter20, epoch 500, loss:1.06267, acc: 9/20 = 45.000%
DEBUG:root:18:07 chapter20, epoch 600, loss:0.87215, acc: 12/20 = 60.000%
DEBUG:root:18:07 chapter20, epoch 700, loss:0.78363, acc: 13/20 = 65.000%
DEBUG:root:18:07 chapter20, epoch 800, loss:0.68907, acc: 14/20 = 70.000%
DEBUG:root:18:07 chapter20, epoch 900, loss:0.60512, acc: 14/20 = 70.000%
DEBUG:root:18:07 chapter20, epoch 1000, loss:0.51722, acc: 15/20 = 75.000%
DEBUG:root:18:07 chapter20, epoch 1100, loss:0.54571, acc: 14/20 = 70.000%
DEBUG:root:18:07 chapter20, epoch 1200, loss:0.53717, acc: 15/20 = 75.000%
DEBUG:root:18:07 chapter20, epoch 1300, loss:0.44797, acc: 17/20 = 85.000%
DEBUG:root:18:07 chapter20, epoch 1400, loss:0.42541, acc: 17/20 = 85.000%
DEBUG:root:18:07 chapter20, epoch 1500, loss:0.33417, acc: 17/20 = 85.000%
DEBUG:root:18:07 chapter20, epoch 1600, loss:0.26860, acc: 18/20 = 90.000%
DEBUG:root:18:07 chapter20, epoch 1700, loss:0.24485, acc: 19/20 = 95.000%
DEBUG:root:18:08 chapter20, epoch 1800, loss:0.21117, acc: 19/20 = 95.000%
DEBUG:root:18:08 chapter20, epoch 1900, loss:0.10789, acc: 19/20 = 95.000%
DEBUG:root:18:08 chapter20, epoch 2000, loss:0.05683, acc: 20/20 = 100.000%
DEBUG:root:Namespace(blweight=0.01, cuda=True, curri=False, epoch=100001, hidden=512, joint=False, lr=0.001, max=30, mweight=0.001, out_hidden=500, resume=False, seq=2, tasks=1, tau=5, vocab=10)
DEBUG:root:18:08 chapter30, epoch 100, loss:4.35188, acc: 5/30 = 16.667%
DEBUG:root:18:08 chapter30, epoch 200, loss:3.55902, acc: 10/30 = 33.333%
DEBUG:root:18:09 chapter30, epoch 300, loss:3.39302, acc: 8/30 = 26.667%
DEBUG:root:18:09 chapter30, epoch 400, loss:2.70553, acc: 11/30 = 36.667%
DEBUG:root:Namespace(blweight=0.01, cuda=True, curri=False, epoch=100001, hidden=512, joint=False, lr=0.001, max=100, mweight=0.001, out_hidden=500, resume=False, seq=2, tasks=1, tau=5, vocab=10)
DEBUG:root:18:11 chapter100, epoch 100, loss:53.15759, acc: 17/100 = 17.000%
DEBUG:root:18:13 chapter100, epoch 200, loss:42.25825, acc: 22/100 = 22.000%
DEBUG:root:18:15 chapter100, epoch 300, loss:34.45920, acc: 34/100 = 34.000%
DEBUG:root:18:17 chapter100, epoch 400, loss:28.16402, acc: 49/100 = 49.000%
DEBUG:root:18:20 chapter100, epoch 500, loss:25.59486, acc: 52/100 = 52.000%
DEBUG:root:18:22 chapter100, epoch 600, loss:21.04376, acc: 57/100 = 57.000%
DEBUG:root:18:24 chapter100, epoch 700, loss:19.02551, acc: 62/100 = 62.000%
DEBUG:root:18:26 chapter100, epoch 800, loss:16.45322, acc: 68/100 = 68.000%
DEBUG:root:18:28 chapter100, epoch 900, loss:14.95378, acc: 70/100 = 70.000%
DEBUG:root:18:30 chapter100, epoch 1000, loss:13.54647, acc: 71/100 = 71.000%
DEBUG:root:18:32 chapter100, epoch 1100, loss:14.26978, acc: 73/100 = 73.000%
DEBUG:root:18:34 chapter100, epoch 1200, loss:11.09674, acc: 77/100 = 77.000%
DEBUG:root:18:36 chapter100, epoch 1300, loss:11.36125, acc: 78/100 = 78.000%
DEBUG:root:18:38 chapter100, epoch 1400, loss:8.79407, acc: 82/100 = 82.000%
DEBUG:root:18:40 chapter100, epoch 1500, loss:8.50236, acc: 82/100 = 82.000%
DEBUG:root:18:42 chapter100, epoch 1600, loss:9.30369, acc: 82/100 = 82.000%
DEBUG:root:18:44 chapter100, epoch 1700, loss:10.02070, acc: 82/100 = 82.000%
DEBUG:root:18:46 chapter100, epoch 1800, loss:11.20865, acc: 83/100 = 83.000%
DEBUG:root:18:48 chapter100, epoch 1900, loss:10.33840, acc: 83/100 = 83.000%
DEBUG:root:18:50 chapter100, epoch 2000, loss:9.72058, acc: 83/100 = 83.000%
DEBUG:root:18:52 chapter100, epoch 2100, loss:9.66476, acc: 83/100 = 83.000%
DEBUG:root:18:55 chapter100, epoch 2200, loss:8.72095, acc: 85/100 = 85.000%
DEBUG:root:18:57 chapter100, epoch 2300, loss:8.06400, acc: 86/100 = 86.000%
DEBUG:root:18:59 chapter100, epoch 2400, loss:8.18540, acc: 86/100 = 86.000%
DEBUG:root:19:01 chapter100, epoch 2500, loss:7.81639, acc: 86/100 = 86.000%
DEBUG:root:19:03 chapter100, epoch 2600, loss:8.00860, acc: 86/100 = 86.000%
DEBUG:root:19:05 chapter100, epoch 2700, loss:7.81528, acc: 86/100 = 86.000%
DEBUG:root:19:07 chapter100, epoch 2800, loss:7.97033, acc: 86/100 = 86.000%
DEBUG:root:19:09 chapter100, epoch 2900, loss:8.02789, acc: 86/100 = 86.000%
DEBUG:root:19:11 chapter100, epoch 3000, loss:8.91169, acc: 86/100 = 86.000%
DEBUG:root:19:13 chapter100, epoch 3100, loss:9.41471, acc: 86/100 = 86.000%
DEBUG:root:19:15 chapter100, epoch 3200, loss:8.84767, acc: 86/100 = 86.000%
DEBUG:root:19:17 chapter100, epoch 3300, loss:9.16208, acc: 86/100 = 86.000%
DEBUG:root:19:19 chapter100, epoch 3400, loss:8.78343, acc: 86/100 = 86.000%
DEBUG:root:19:21 chapter100, epoch 3500, loss:8.46014, acc: 86/100 = 86.000%
DEBUG:root:19:23 chapter100, epoch 3600, loss:10.15505, acc: 85/100 = 85.000%
DEBUG:root:19:25 chapter100, epoch 3700, loss:9.33965, acc: 85/100 = 85.000%
DEBUG:root:19:27 chapter100, epoch 3800, loss:10.42071, acc: 84/100 = 84.000%
DEBUG:root:19:29 chapter100, epoch 3900, loss:10.21861, acc: 84/100 = 84.000%
DEBUG:root:19:31 chapter100, epoch 4000, loss:10.52175, acc: 83/100 = 83.000%
DEBUG:root:19:33 chapter100, epoch 4100, loss:11.34881, acc: 85/100 = 85.000%
DEBUG:root:19:36 chapter100, epoch 4200, loss:12.51391, acc: 86/100 = 86.000%
DEBUG:root:19:38 chapter100, epoch 4300, loss:11.30250, acc: 85/100 = 85.000%
DEBUG:root:19:40 chapter100, epoch 4400, loss:12.90430, acc: 84/100 = 84.000%
DEBUG:root:19:42 chapter100, epoch 4500, loss:11.72389, acc: 85/100 = 85.000%
DEBUG:root:19:44 chapter100, epoch 4600, loss:12.78613, acc: 85/100 = 85.000%
DEBUG:root:19:46 chapter100, epoch 4700, loss:12.32059, acc: 85/100 = 85.000%
DEBUG:root:19:48 chapter100, epoch 4800, loss:11.65530, acc: 86/100 = 86.000%
DEBUG:root:19:50 chapter100, epoch 4900, loss:12.05420, acc: 85/100 = 85.000%
DEBUG:root:19:52 chapter100, epoch 5000, loss:12.04174, acc: 86/100 = 86.000%
DEBUG:root:19:54 chapter100, epoch 5100, loss:11.83556, acc: 86/100 = 86.000%
DEBUG:root:19:56 chapter100, epoch 5200, loss:12.89749, acc: 85/100 = 85.000%
DEBUG:root:19:58 chapter100, epoch 5300, loss:13.36749, acc: 85/100 = 85.000%
DEBUG:root:20:00 chapter100, epoch 5400, loss:14.02519, acc: 84/100 = 84.000%
DEBUG:root:20:02 chapter100, epoch 5500, loss:13.33683, acc: 85/100 = 85.000%
DEBUG:root:20:04 chapter100, epoch 5600, loss:13.43605, acc: 85/100 = 85.000%
DEBUG:root:20:06 chapter100, epoch 5700, loss:13.52742, acc: 85/100 = 85.000%
DEBUG:root:20:09 chapter100, epoch 5800, loss:13.30751, acc: 85/100 = 85.000%
DEBUG:root:20:11 chapter100, epoch 5900, loss:13.46575, acc: 84/100 = 84.000%
DEBUG:root:20:13 chapter100, epoch 6000, loss:13.03524, acc: 85/100 = 85.000%
DEBUG:root:20:15 chapter100, epoch 6100, loss:13.52392, acc: 84/100 = 84.000%
DEBUG:root:20:17 chapter100, epoch 6200, loss:12.26618, acc: 85/100 = 85.000%
DEBUG:root:20:19 chapter100, epoch 6300, loss:12.58821, acc: 85/100 = 85.000%
DEBUG:root:20:21 chapter100, epoch 6400, loss:12.25266, acc: 85/100 = 85.000%
DEBUG:root:20:23 chapter100, epoch 6500, loss:12.38481, acc: 85/100 = 85.000%
DEBUG:root:20:25 chapter100, epoch 6600, loss:12.10724, acc: 85/100 = 85.000%
DEBUG:root:20:28 chapter100, epoch 6700, loss:12.18414, acc: 85/100 = 85.000%
DEBUG:root:20:30 chapter100, epoch 6800, loss:13.98990, acc: 83/100 = 83.000%
DEBUG:root:20:32 chapter100, epoch 6900, loss:14.42359, acc: 83/100 = 83.000%
DEBUG:root:20:34 chapter100, epoch 7000, loss:13.93355, acc: 83/100 = 83.000%
DEBUG:root:20:36 chapter100, epoch 7100, loss:13.89567, acc: 83/100 = 83.000%
DEBUG:root:20:38 chapter100, epoch 7200, loss:15.52130, acc: 81/100 = 81.000%
DEBUG:root:20:40 chapter100, epoch 7300, loss:15.24548, acc: 83/100 = 83.000%
DEBUG:root:20:42 chapter100, epoch 7400, loss:15.25284, acc: 81/100 = 81.000%
DEBUG:root:20:44 chapter100, epoch 7500, loss:15.69512, acc: 81/100 = 81.000%
DEBUG:root:20:46 chapter100, epoch 7600, loss:15.65339, acc: 81/100 = 81.000%
DEBUG:root:20:49 chapter100, epoch 7700, loss:15.96300, acc: 80/100 = 80.000%
DEBUG:root:20:51 chapter100, epoch 7800, loss:15.78338, acc: 81/100 = 81.000%
DEBUG:root:20:53 chapter100, epoch 7900, loss:15.72474, acc: 81/100 = 81.000%
DEBUG:root:20:55 chapter100, epoch 8000, loss:15.72834, acc: 81/100 = 81.000%
DEBUG:root:20:57 chapter100, epoch 8100, loss:16.81709, acc: 80/100 = 80.000%
DEBUG:root:20:59 chapter100, epoch 8200, loss:15.87976, acc: 81/100 = 81.000%
DEBUG:root:21:01 chapter100, epoch 8300, loss:17.36852, acc: 81/100 = 81.000%
DEBUG:root:21:03 chapter100, epoch 8400, loss:16.42038, acc: 81/100 = 81.000%
DEBUG:root:21:05 chapter100, epoch 8500, loss:15.50558, acc: 82/100 = 82.000%
DEBUG:root:21:07 chapter100, epoch 8600, loss:16.16224, acc: 81/100 = 81.000%
DEBUG:root:21:09 chapter100, epoch 8700, loss:16.03883, acc: 81/100 = 81.000%
DEBUG:root:21:11 chapter100, epoch 8800, loss:16.40560, acc: 81/100 = 81.000%
DEBUG:root:21:13 chapter100, epoch 8900, loss:16.34483, acc: 81/100 = 81.000%
DEBUG:root:21:16 chapter100, epoch 9000, loss:16.20224, acc: 81/100 = 81.000%
DEBUG:root:21:18 chapter100, epoch 9100, loss:17.13341, acc: 80/100 = 80.000%
DEBUG:root:21:20 chapter100, epoch 9200, loss:18.50907, acc: 80/100 = 80.000%
DEBUG:root:21:22 chapter100, epoch 9300, loss:17.34739, acc: 79/100 = 79.000%
DEBUG:root:21:24 chapter100, epoch 9400, loss:19.12021, acc: 77/100 = 77.000%
DEBUG:root:21:26 chapter100, epoch 9500, loss:18.53059, acc: 78/100 = 78.000%
DEBUG:root:21:28 chapter100, epoch 9600, loss:18.48469, acc: 78/100 = 78.000%
DEBUG:root:21:30 chapter100, epoch 9700, loss:18.91481, acc: 77/100 = 77.000%
DEBUG:root:21:32 chapter100, epoch 9800, loss:19.39079, acc: 78/100 = 78.000%
DEBUG:root:21:34 chapter100, epoch 9900, loss:18.32410, acc: 79/100 = 79.000%
DEBUG:root:21:36 chapter100, epoch 10000, loss:19.48691, acc: 77/100 = 77.000%
DEBUG:root:21:38 chapter100, epoch 10100, loss:18.80435, acc: 79/100 = 79.000%
DEBUG:root:21:40 chapter100, epoch 10200, loss:18.85432, acc: 78/100 = 78.000%
DEBUG:root:21:42 chapter100, epoch 10300, loss:19.08730, acc: 78/100 = 78.000%
DEBUG:root:21:44 chapter100, epoch 10400, loss:19.88465, acc: 76/100 = 76.000%
DEBUG:root:21:46 chapter100, epoch 10500, loss:18.70797, acc: 78/100 = 78.000%
DEBUG:root:21:48 chapter100, epoch 10600, loss:18.54437, acc: 78/100 = 78.000%
DEBUG:root:21:51 chapter100, epoch 10700, loss:18.20448, acc: 78/100 = 78.000%
DEBUG:root:21:53 chapter100, epoch 10800, loss:18.76762, acc: 78/100 = 78.000%
DEBUG:root:21:55 chapter100, epoch 10900, loss:18.56445, acc: 78/100 = 78.000%
DEBUG:root:21:57 chapter100, epoch 11000, loss:20.15633, acc: 75/100 = 75.000%
DEBUG:root:21:59 chapter100, epoch 11100, loss:19.86012, acc: 76/100 = 76.000%
DEBUG:root:22:01 chapter100, epoch 11200, loss:19.75056, acc: 76/100 = 76.000%
DEBUG:root:22:03 chapter100, epoch 11300, loss:19.11238, acc: 79/100 = 79.000%
DEBUG:root:22:05 chapter100, epoch 11400, loss:19.72394, acc: 74/100 = 74.000%
DEBUG:root:22:07 chapter100, epoch 11500, loss:19.81769, acc: 75/100 = 75.000%
DEBUG:root:22:09 chapter100, epoch 11600, loss:19.02737, acc: 77/100 = 77.000%
DEBUG:root:22:12 chapter100, epoch 11700, loss:19.53422, acc: 77/100 = 77.000%
DEBUG:root:22:14 chapter100, epoch 11800, loss:19.29629, acc: 76/100 = 76.000%
DEBUG:root:22:16 chapter100, epoch 11900, loss:21.26372, acc: 74/100 = 74.000%
DEBUG:root:22:18 chapter100, epoch 12000, loss:20.18851, acc: 75/100 = 75.000%
DEBUG:root:22:20 chapter100, epoch 12100, loss:19.60812, acc: 76/100 = 76.000%
DEBUG:root:22:22 chapter100, epoch 12200, loss:19.80900, acc: 75/100 = 75.000%
DEBUG:root:22:24 chapter100, epoch 12300, loss:19.77314, acc: 73/100 = 73.000%
DEBUG:root:22:26 chapter100, epoch 12400, loss:19.44135, acc: 76/100 = 76.000%
DEBUG:root:22:28 chapter100, epoch 12500, loss:19.55940, acc: 76/100 = 76.000%
DEBUG:root:22:30 chapter100, epoch 12600, loss:19.07088, acc: 76/100 = 76.000%
DEBUG:root:22:32 chapter100, epoch 12700, loss:20.22280, acc: 74/100 = 74.000%
